"datas","valores","tipo"
"01 11 2017",0,"verde"
"01 07 2019",0,"verde"
"01 11 2019",0,"verde"
"01 07 2021",0,"verde"
"01 10 2021",0,"verde"
"01 11 2017",0.01,"amarela"
"01 07 2019",0.015,"amarela"
"01 11 2019",0.0134,"amarela"
"01 07 2021",0.0187,"amarela"
"01 10 2021",0.0187,"amarela"
"01 11 2017",0.03,"vermelha1"
"01 07 2019",0.04,"vermelha1"
"01 11 2019",0.0416,"vermelha1"
"01 07 2021",0.0397,"vermelha1"
"01 10 2021",0.0397,"vermelha1"
"01 11 2017",0.05,"vermelha2"
"01 07 2019",0.06,"vermelha2"
"01 11 2019",0.0624,"vermelha2"
"01 07 2021",0.0949,"vermelha2"
"01 10 2021",0.0949,"vermelha2"
"01 09 2021",0.142,"escassez"
"01 10 2021",0.142,"escassez"
