data_referencia,energia,valor,dias_medidos
2018-08-01,445,345.56,28
2018-09-01,519,409.44,33
2018-10-01,430,342.25,29
2018-11-01,477,361.15,31
2018-12-01,508,373.01,30
2019-01-01,576,419.61,30
2019-02-01,598,439.91,31
2019-03-01,507,369.68,31
2019-04-01,457,331.19,29
2019-05-01,473,349.08,30
2019-06-01,492,363.34,32
2019-07-01,450,349.01,30
2019-08-01,428,354.74,29
2019-09-01,490,410.95,32
2019-10-01,434,354.42,30
2019-11-01,476,390.47,32
2019-12-01,459,375.42,29
2020-01-01,550,434.24,30
2020-02-01,460,364.62,30
2020-03-01,488,376.18,31
2020-04-01,471,349.05,30
2020-05-01,473,352.49,30
2020-06-01,433,318.82,32
2020-07-01,440,336.57,30
2020-08-01,472,368.87,32
2020-09-01,431,333.05,29
2020-10-01,466,368.97,31
2020-11-01,444,348.29,30
2020-12-01,467,322.93,31
2021-01-01,536,439.35,30
2021-02-01,479,364.63,32
2021-03-01,395,324.41,28
2021-04-01,504,403.42,30
2021-05-01,469,392.16,32
2021-06-01,451,386.80,30
2021-07-01,467,438.75,32
2021-08-01,394,391.96,29
2021-09-01,439,455.59,31
2021-10-01,446,477.27,32
