"data_referencia","dias_medidos","tipos"
"2018-08-01",28,"vermelha1"
"2018-09-01",33,"vermelha1"
"2018-10-01",29,"vermelha1"
"2018-11-01",31,"amarela"
"2018-12-01",30,"verde"
"2019-01-01",30,"verde"
"2019-02-01",31,"verde"
"2019-03-01",31,"verde"
"2019-04-01",29,"verde"
"2019-05-01",30,"amarela"
"2019-06-01",32,"verde"
"2019-07-01",30,"amarela"
"2019-08-01",29,"vermelha1"
"2019-09-01",32,"vermelha1"
"2019-10-01",30,"amarela"
"2019-11-01",32,"vermelha1"
"2019-12-01",29,"amarela"
"2020-01-01",30,"amarela"
"2020-02-01",30,"verde"
"2020-03-01",31,"verde"
"2020-04-01",30,"verde"
"2020-05-01",30,"verde"
"2020-06-01",32,"verde"
"2020-07-01",30,"verde"
"2020-08-01",32,"verde"
"2020-09-01",29,"verde"
"2020-10-01",31,"verde"
"2020-11-01",30,"verde"
"2020-12-01",13,"verde"
"2020-12-01",17,"vermelha2"
"2021-01-01",16,"amarela"
"2021-01-01",14,"vermelha1"
"2021-02-01",32,"amarela"
"2021-03-01",28,"amarela"
"2021-04-01",30,"amarela"
"2021-05-01",14,"amarela"
"2021-05-01",18,"vermelha1"
"2021-06-01",30,"vermelha2"
"2021-07-01",32,"vermelha2"
"2021-08-01",29,"vermelha2"
"2021-09-01",31,"escassez"
"2021-10-01",32,"escassez"
